date,publication,slot,city,spend,estimated_reach,landed,lead_submitted,pay_now_attempt,conversions,gtv
2026-05-14,Deccan Daily Express,Quarter Page,Hyderabad,12801.55,162000,203,10,3,1,799
2026-05-14,Capital Post,Half Page,Delhi NCR,28746.75,335500,329,15,4,2,9498
2026-05-14,Sportsline Monthly,Quarter Page,Mumbai,9589.11,63000,44,2,0,0,0
2026-05-14,City Pulse Tabloid,Strip Ad,Pune,4981.96,64900,66,5,1,1,1999
2026-05-15,The Urban Chronicle,Strip Ad,Delhi NCR,16666.55,180400,239,10,4,3,4797
2026-05-15,Deccan Daily Express,Strip Ad,Hyderabad,8907.06,118800,73,3,0,0,0
2026-05-15,Peninsula Weekly,Strip Ad,Bengaluru,9937.3,111100,111,4,1,1,2999
2026-05-15,Sportsline Monthly,Strip Ad,Mumbai,6774.42,46200,63,3,1,0,0
2026-05-17,Deccan Daily Express,Quarter Page,Hyderabad,13217.41,162000,176,11,1,1,799
2026-05-17,Capital Post,Half Page,Delhi NCR,28598.11,335500,480,25,6,4,8296
2026-05-17,Sportsline Monthly,Quarter Page,Mumbai,8998.27,63000,113,6,2,0,0
2026-05-17,City Pulse Tabloid,Half Page,Pune,14170.13,162250,114,9,2,0,0
2026-05-24,Metro Morning Herald,Full Page,Mumbai,72081.21,890000,1407,67,30,14,32085
2026-05-24,Bay City Times,Strip Ad,Chennai,7057.96,103400,115,2,1,0,0
2026-05-24,Peninsula Weekly,Half Page,Bengaluru,24391.39,277750,418,12,4,2,2098
2026-05-24,City Pulse Tabloid,Strip Ad,Pune,5263.75,64900,82,4,2,1,1299
2026-05-31,Metro Morning Herald,Quarter Page,Mumbai,21163.15,267000,199,7,2,0,0
2026-05-31,The Urban Chronicle,Quarter Page,Delhi NCR,20430.1,246000,332,18,6,4,5895
2026-05-31,Capital Post,Quarter Page,Delhi NCR,14176.9,183000,156,7,2,1,1299
2026-05-31,Sportsline Monthly,Full Page,Mumbai,27557.54,210000,184,14,1,1,1299
2026-05-31,City Pulse Tabloid,Half Page,Pune,12787.67,162250,136,4,0,0,0
2026-06-07,Metro Morning Herald,Strip Ad,Mumbai,17033.69,195800,335,11,8,5,9893
2026-06-07,Deccan Daily Express,Half Page,Hyderabad,20640.69,297000,550,26,7,2,5498
2026-06-07,Bay City Times,Quarter Page,Chennai,11414.16,141000,192,9,4,2,2097
2026-06-07,Peninsula Weekly,Quarter Page,Bengaluru,15051.61,151500,324,13,3,1,2598
2026-06-14,Deccan Daily Express,Strip Ad,Hyderabad,9250.83,118800,107,5,2,1,6499
2026-06-14,Bay City Times,Strip Ad,Chennai,8113.09,103400,83,2,1,0,0
2026-06-14,Capital Post,Strip Ad,Delhi NCR,10411.46,134200,180,11,7,6,7894
2026-06-14,City Pulse Tabloid,Half Page,Pune,15082.74,162250,187,6,4,2,4798
2026-06-21,Metro Morning Herald,Strip Ad,Mumbai,17053.9,195800,23,1,1,1,799
2026-06-21,Deccan Daily Express,Half Page,Hyderabad,21528.35,297000,206,6,3,2,9998
2026-06-21,Bay City Times,Strip Ad,Chennai,8580.53,103400,97,1,0,0,0
2026-06-21,Capital Post,Quarter Page,Delhi NCR,14104.77,183000,190,13,4,1,499
2026-06-21,Peninsula Weekly,Strip Ad,Bengaluru,9707.5,111100,93,4,2,1,499
2026-06-28,Bay City Times,Half Page,Chennai,23247.73,258500,272,7,4,4,6796
2026-06-29,The Urban Chronicle,Strip Ad,Delhi NCR,14089.32,180400,278,7,1,0,0
2026-06-29,Deccan Daily Express,Strip Ad,Hyderabad,9045.86,118800,150,9,3,2,7298
2026-06-29,Bay City Times,Strip Ad,Chennai,8169.08,103400,94,4,0,0,0
2026-06-29,Capital Post,Strip Ad,Delhi NCR,10871.66,134200,244,5,1,1,2999
2026-06-29,Sportsline Monthly,Strip Ad,Mumbai,6210.97,46200,38,0,0,0,0
2026-06-29,City Pulse Tabloid,Strip Ad,Pune,5152.6,64900,110,7,4,1,799
2026-06-30,The Urban Chronicle,Half Page,Delhi NCR,38270.15,451000,362,22,7,1,1999
2026-06-30,Capital Post,Full Page,Delhi NCR,49064.32,610000,867,30,10,5,5195
2026-06-30,City Pulse Tabloid,Quarter Page,Pune,7947.58,88500,90,8,2,2,1298
2026-07-05,Bay City Times,Strip Ad,Chennai,8615.42,103400,142,8,2,1,799
2026-07-05,City Pulse Tabloid,Full Page,Pune,25436.39,295000,403,13,3,1,2598
2026-07-12,Metro Morning Herald,Full Page,Mumbai,71679.39,890000,1152,57,22,11,18388
2026-07-12,Bay City Times,Strip Ad,Chennai,8628.74,103400,182,10,4,2,1598
2026-07-12,Peninsula Weekly,Quarter Page,Bengaluru,12678.27,151500,250,10,5,2,14997
2026-07-12,Sportsline Monthly,Half Page,Mumbai,16681.96,115500,115,5,0,0,0
2026-07-19,Metro Morning Herald,Quarter Page,Mumbai,23119.21,267000,246,21,3,2,3798
2026-07-19,Bay City Times,Quarter Page,Chennai,12017.12,141000,194,9,2,1,799
2026-07-19,Peninsula Weekly,Strip Ad,Bengaluru,10861,111100,112,6,3,1,799
2026-07-19,Sportsline Monthly,Quarter Page,Mumbai,9676.68,63000,64,4,3,3,6297
2026-07-26,Metro Morning Herald,Strip Ad,Mumbai,16312.99,195800,226,12,6,4,12296
2026-07-26,The Urban Chronicle,Strip Ad,Delhi NCR,13806.31,180400,153,9,4,3,5297
2026-07-26,Deccan Daily Express,Strip Ad,Hyderabad,8421.64,118800,210,16,5,4,4895
2026-07-26,Sportsline Monthly,Quarter Page,Mumbai,8546.52,63000,77,0,0,0,0
2026-07-26,City Pulse Tabloid,Quarter Page,Pune,8597.63,88500,123,9,6,3,19497
2026-08-02,Metro Morning Herald,Half Page,Mumbai,43443.91,489500,322,23,12,4,4096
2026-08-03,Metro Morning Herald,Strip Ad,Mumbai,16627.22,195800,267,14,5,1,1999
2026-08-03,Deccan Daily Express,Quarter Page,Hyderabad,12637.5,162000,169,10,4,2,3998
2026-08-03,Sportsline Monthly,Strip Ad,Mumbai,7010.94,46200,21,1,0,0,0
2026-08-04,Deccan Daily Express,Half Page,Hyderabad,22639.34,297000,520,27,14,11,12688
2026-08-04,Capital Post,Strip Ad,Delhi NCR,10494.54,134200,151,5,2,0,0
2026-08-04,Sportsline Monthly,Strip Ad,Mumbai,7074.98,46200,37,1,1,0,0
2026-08-05,The Urban Chronicle,Strip Ad,Delhi NCR,13925.34,180400,216,12,3,2,5997
2026-08-05,Deccan Daily Express,Half Page,Hyderabad,23610.26,297000,536,27,11,4,8595
2026-08-05,Peninsula Weekly,Strip Ad,Bengaluru,9313.34,111100,158,8,5,2,3498
2026-08-05,Sportsline Monthly,Strip Ad,Mumbai,5653.62,46200,43,3,0,0,0
2026-08-09,Metro Morning Herald,Full Page,Mumbai,73956.77,890000,1249,68,34,16,32183
2026-08-09,Deccan Daily Express,Quarter Page,Hyderabad,11844.28,162000,215,8,4,2,4298
2026-08-09,Capital Post,Quarter Page,Delhi NCR,14006.63,183000,194,12,5,4,3096
2026-08-16,Deccan Daily Express,Strip Ad,Hyderabad,7816.65,118800,52,3,0,0,0
2026-08-16,Bay City Times,Quarter Page,Chennai,11482.13,141000,243,16,7,7,7993
2026-08-16,Capital Post,Half Page,Delhi NCR,24692.31,335500,229,13,5,4,6796
2026-08-16,Sportsline Monthly,Quarter Page,Mumbai,8326.6,63000,56,4,1,1,499
2026-08-16,City Pulse Tabloid,Quarter Page,Pune,7112.83,88500,88,7,4,3,4597
