date,campaign_name,adset_name,creative,creative_type,objective,city,spend,impressions,reach,clicks,landed,lead_submitted,pay_now_attempt,conversions,gtv
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Pune,307.77,1797,1177,29,29,5,2,1,799
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Chennai,244.19,1548,916,28,28,0,0,0,0
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Mumbai,451.31,2540,1623,45,45,2,0,0,0
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Delhi NCR,6991.84,40305,29748,582,582,46,16,6,11393
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Bengaluru,271.84,1622,1108,33,33,2,2,0,0
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Hyderabad,221.85,1122,691,14,14,1,0,0,0
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Pune,193.04,1157,792,18,18,2,0,0,0
2026-03-03,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Chennai,152.58,850,495,14,14,2,1,1,799
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Mumbai,5972.62,35394,21161,413,413,36,15,6,9393
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Delhi NCR,422.75,1792,1058,15,15,2,2,1,1299
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Bengaluru,394.16,2220,1557,28,28,3,0,0,0
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Hyderabad,240.83,1285,784,21,21,1,1,0,0
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Pune,147.65,786,476,7,7,0,0,0,0
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Chennai,139.18,867,484,11,11,1,1,1,799
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Mumbai,6002.37,35357,22934,673,673,70,26,12,25685
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Delhi NCR,424.86,2265,1375,30,30,4,0,0,0
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Bengaluru,396.12,2157,1219,45,45,4,0,0,0
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Hyderabad,242.03,1560,1082,32,32,2,0,0,0
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Pune,148.39,897,522,16,16,2,1,0,0
2026-03-04,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Chennai,139.88,784,473,10,10,3,1,1,799
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Mumbai,605.95,3422,2046,41,41,4,2,2,1798
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Delhi NCR,9957.42,54235,36540,733,733,68,19,10,13790
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Bengaluru,443.87,2471,1504,33,33,6,2,1,799
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Hyderabad,417.7,2718,1697,49,49,6,2,1,799
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Pune,163.32,903,530,13,13,2,1,1,799
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Chennai,197.55,1203,740,20,20,1,1,0,0
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Mumbai,503.78,3132,1747,44,44,7,3,2,3798
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Delhi NCR,6233.95,35052,20382,483,483,40,12,4,5096
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Bengaluru,423.12,2371,1598,42,42,7,4,3,5597
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Hyderabad,228.24,1277,792,26,26,3,1,0,0
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Pune,151.24,893,600,12,12,1,0,0,0
2026-03-04,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Chennai,134.29,808,484,11,11,1,0,0,0
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Mumbai,5953.58,33457,22043,477,477,49,15,8,16592
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Delhi NCR,295.21,1706,978,27,27,2,0,0,0
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Bengaluru,281.03,1177,750,17,17,3,3,3,5597
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Hyderabad,222.67,1226,714,14,14,1,0,0,0
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Pune,163.92,952,690,12,12,1,0,0,0
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Chennai,149.61,938,522,10,10,0,0,0,0
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Mumbai,5983.23,35665,24967,451,451,36,8,7,9792
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Delhi NCR,296.68,1813,1294,32,32,3,2,1,799
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Bengaluru,282.43,1485,939,25,25,1,0,0,0
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Hyderabad,223.77,1321,870,14,14,0,0,0,0
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Pune,164.73,887,504,11,11,2,1,0,0
2026-03-05,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Chennai,150.36,841,541,20,20,1,1,1,799
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Mumbai,838.58,5206,3179,69,69,2,2,2,1598
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Delhi NCR,9127.51,62297,34790,970,970,99,30,21,28679
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Bengaluru,592.34,3555,2394,46,46,6,2,2,4498
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Hyderabad,373.06,2158,1177,30,30,5,0,0,0
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Pune,205.34,1042,765,12,12,0,0,0,0
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Chennai,244.38,1306,933,18,18,0,0,0,0
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Mumbai,431.27,2510,1575,39,39,3,1,0,0
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Delhi NCR,6183.07,35159,24003,495,495,38,15,10,16990
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Bengaluru,302.93,1777,1233,36,36,3,0,0,0
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Hyderabad,216.47,1200,731,19,19,3,2,2,1598
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Pune,151.99,689,403,9,9,2,1,1,799
2026-03-05,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Chennai,125.41,736,532,14,14,1,0,0,0
2026-03-06,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Mumbai,8824.38,48097,33927,579,579,52,15,9,15791
2026-03-06,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Delhi NCR,483.4,2672,1966,33,33,1,0,0,0
2026-03-06,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Bengaluru,501.56,3074,1837,46,46,4,1,1,499
2026-03-06,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Hyderabad,260.15,1586,1026,20,20,2,0,0,0
2026-03-06,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Pune,173.14,1038,619,13,13,0,0,0,0
2026-03-06,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Chennai,182.47,850,507,1,1,0,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Mumbai,5567.36,29595,20483,456,456,37,10,5,3695
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Delhi NCR,292.06,1676,938,17,17,2,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Bengaluru,322.1,1924,1418,16,16,2,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Hyderabad,218.76,1337,855,16,16,1,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Pune,158.04,989,606,10,10,2,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Chennai,112.03,692,404,15,15,2,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Mumbai,5595.09,27723,16866,424,424,42,20,15,36583
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Delhi NCR,293.51,1755,1044,32,32,2,2,2,2598
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Bengaluru,323.7,2079,1383,34,34,7,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Hyderabad,219.85,1289,921,18,18,2,1,0,0
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Pune,158.82,964,599,12,12,1,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Chennai,112.59,605,355,10,10,0,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Mumbai,564.61,3661,2466,54,54,9,4,3,2397
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Delhi NCR,8935.77,47505,31536,792,792,78,29,16,25284
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Bengaluru,497.09,2841,1914,38,38,4,1,1,799
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Hyderabad,361.69,1913,1207,27,27,3,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Pune,246.42,1405,852,22,22,4,1,1,1999
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Chennai,138.32,828,601,13,13,1,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Mumbai,650.15,3461,2397,66,66,5,3,0,0
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Delhi NCR,6490.32,35010,25638,513,513,40,14,8,8492
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Bengaluru,451.46,2322,1680,34,34,2,1,0,0
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Hyderabad,288.97,1802,1119,32,32,1,1,0,0
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Pune,240.77,1481,875,25,25,5,1,1,799
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Chennai,194.02,1189,731,21,21,0,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Mumbai,379.45,2299,1251,41,41,4,2,0,0
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Delhi NCR,5765.84,32482,18781,562,562,45,12,5,8395
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Bengaluru,350.2,1764,1080,36,36,7,1,1,2999
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Hyderabad,234.09,1360,894,29,29,1,0,0,0
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Pune,147.36,806,525,15,15,2,1,1,799
2026-03-06,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Chennai,119.21,650,400,10,10,0,0,0,0
2026-03-07,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Mumbai,8143.04,55515,33949,787,787,76,35,15,24384
2026-03-07,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Delhi NCR,607.89,3917,2677,47,47,5,0,0,0
2026-03-07,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Bengaluru,502.49,2515,1437,25,25,0,0,0,0
2026-03-07,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Hyderabad,419.48,2441,1440,32,32,2,1,0,0
2026-03-07,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Pune,275.13,1604,870,20,20,3,0,0,0
2026-03-07,vrs26_meta_prospect_interest_mum,vrs26_meta_prospect_interest_mum__as_rt_web_30d,crt_010_static_testimonial,static,prospecting,Chennai,241.1,1369,768,19,19,1,1,0,0
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Mumbai,5339.49,25731,15629,295,295,38,16,9,22391
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Delhi NCR,345.92,1782,963,24,24,0,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Bengaluru,325.85,2238,1298,30,30,1,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Hyderabad,217.51,1286,930,17,17,0,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Pune,153.87,819,474,12,12,0,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_044_static_teamrun,static,conversion,Chennai,136.72,743,516,4,4,0,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Mumbai,5366.09,30509,22499,550,550,54,22,15,25685
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Delhi NCR,347.64,2010,1408,27,27,6,2,2,3798
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Bengaluru,327.47,1902,1065,27,27,2,2,1,3998
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Hyderabad,218.59,1313,869,21,21,0,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Pune,154.64,1009,546,16,16,1,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_mum,vrs26_meta_conv_earlybird_mum__as_int_running,crt_045_video_countdown,video,conversion,Chennai,137.4,750,442,9,9,0,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Mumbai,731.59,4332,3005,68,68,5,2,1,6499
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Delhi NCR,8559.84,49897,33721,716,716,76,28,16,27684
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Bengaluru,467.43,3015,2080,47,47,4,2,1,1999
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Hyderabad,296.13,1592,1140,23,23,2,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Pune,234.66,1191,800,20,20,0,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_int_fitness,crt_048_carousel_medalshot,carousel,conversion,Chennai,211.07,1214,715,20,20,2,1,0,0
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Mumbai,381.69,2087,1416,32,32,2,2,1,799
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Delhi NCR,6754.47,44953,29396,777,777,69,28,15,28285
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Bengaluru,387.55,2368,1423,42,42,1,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Hyderabad,242.46,1529,1090,26,26,0,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Pune,214.22,1340,837,11,11,0,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_lal_leads_5pct,crt_049_video_sunrise,video,conversion,Chennai,147.07,865,551,14,14,2,0,0,0
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Mumbai,455.89,2943,1885,53,53,1,1,1,2499
2026-03-07,vrs26_meta_conv_earlybird_del,vrs26_meta_conv_earlybird_del__as_broad_35_54,crt_051_video_citystreets,video,conversion,Delhi NCR,5584.56,35132,19545,675,675,43,15,10,12789
