date,campaign_name,campaign_type,city,spend,impressions,clicks,landed,lead_submitted,pay_now_attempt,conversions,gtv
2026-03-02,vrs26_gads_search_brand_natl,search_brand,Chennai,2703.43,9969,232,232,46,24,13,16387
2026-03-02,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,13169.18,53935,1307,1307,163,68,39,72958
2026-03-02,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,9719.37,34915,754,754,116,51,29,26371
2026-03-02,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,9966.7,36482,880,880,125,37,21,42178
2026-03-02,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,5758.22,21162,389,389,54,19,9,15688
2026-03-02,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,4229.75,14532,300,300,26,11,5,5895
2026-03-02,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,3572.04,13621,277,277,43,17,11,31689
2026-03-03,vrs26_gads_search_brand_natl,search_brand,Mumbai,7089.86,27234,575,575,116,46,37,66060
2026-03-03,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,7921.65,29387,626,626,136,58,35,73463
2026-03-03,vrs26_gads_search_brand_natl,search_brand,Bengaluru,6263.7,22465,479,479,89,38,20,33479
2026-03-03,vrs26_gads_search_brand_natl,search_brand,Hyderabad,4106.22,14133,252,252,53,22,9,18991
2026-03-03,vrs26_gads_search_brand_natl,search_brand,Pune,3165.81,12686,184,184,35,13,11,25888
2026-03-03,vrs26_gads_search_brand_natl,search_brand,Chennai,2484.89,9660,202,202,35,17,14,34184
2026-03-03,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,11137.73,39448,702,702,71,26,20,33077
2026-03-03,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,9373.04,38247,881,881,118,42,24,33876
2026-03-03,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,9429.71,33624,692,692,109,34,22,37676
2026-03-03,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,7183.08,21900,413,413,43,13,4,4596
2026-03-03,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,4260.45,16206,358,358,41,15,7,12493
2026-03-03,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,3970.65,13578,238,238,32,10,6,10594
2026-03-04,vrs26_gads_search_brand_natl,search_brand,Mumbai,9018.68,28266,610,610,113,37,24,46374
2026-03-04,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,7650.04,26380,457,457,92,36,23,45677
2026-03-04,vrs26_gads_search_brand_natl,search_brand,Bengaluru,7025.46,23911,454,454,99,43,27,55173
2026-03-04,vrs26_gads_search_brand_natl,search_brand,Hyderabad,4364.25,13515,207,207,47,14,5,11895
2026-03-04,vrs26_gads_search_brand_natl,search_brand,Pune,3385.06,11458,279,279,66,25,18,43178
2026-03-04,vrs26_gads_search_brand_natl,search_brand,Chennai,2266.04,8412,182,182,38,18,9,10790
2026-03-04,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,12539.17,44328,1012,1012,114,35,10,12989
2026-03-04,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,11595.31,41164,634,634,91,31,15,25982
2026-03-04,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,9216.35,32575,660,660,95,35,14,30085
2026-03-04,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,6560.89,20748,493,493,61,22,17,24183
2026-03-04,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,5347.13,19878,298,298,21,4,2,11497
2026-03-04,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,4008.93,15910,319,319,34,11,8,11991
2026-03-05,vrs26_gads_search_brand_natl,search_brand,Mumbai,8898.48,31193,629,629,115,61,30,51170
2026-03-05,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,7313.36,28833,605,605,121,52,29,56769
2026-03-05,vrs26_gads_search_brand_natl,search_brand,Bengaluru,6184.87,21553,495,495,96,41,30,54069
2026-03-05,vrs26_gads_search_brand_natl,search_brand,Hyderabad,3974.19,12785,281,281,65,33,19,32981
2026-03-05,vrs26_gads_search_brand_natl,search_brand,Pune,3649.35,12410,300,300,67,27,16,34784
2026-03-05,vrs26_gads_search_brand_natl,search_brand,Chennai,3519.37,10782,308,308,60,23,13,22287
2026-03-05,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,14076.41,51279,733,733,93,34,15,21984
2026-03-05,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,9602.57,32774,736,736,80,33,17,27283
2026-03-05,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,10099.88,31763,633,633,90,30,18,22682
2026-03-05,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,6349.45,22977,440,440,59,21,10,10090
2026-03-05,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,4538.95,15304,296,296,36,13,7,9693
2026-03-05,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,4352.17,13108,293,293,37,19,9,17790
2026-03-06,vrs26_gads_search_brand_natl,search_brand,Mumbai,8081.48,28849,505,505,114,53,29,56369
2026-03-06,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,6455.1,24149,495,495,107,40,21,49675
2026-03-06,vrs26_gads_search_brand_natl,search_brand,Bengaluru,5091.06,19212,391,391,81,34,21,40876
2026-03-06,vrs26_gads_search_brand_natl,search_brand,Hyderabad,4539.15,16127,316,316,64,28,20,39478
2026-03-06,vrs26_gads_search_brand_natl,search_brand,Pune,3509.6,12853,317,317,57,25,11,21088
2026-03-06,vrs26_gads_search_brand_natl,search_brand,Chennai,2116.21,8309,145,145,27,7,4,4296
2026-03-06,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,10499.14,35239,714,714,78,29,17,25382
2026-03-06,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,9843.09,38377,871,871,104,35,19,30580
2026-03-06,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,8485.75,31143,589,589,85,24,11,23288
2026-03-06,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,6321.59,24717,590,590,72,26,21,40878
2026-03-06,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,4656.75,12913,235,235,30,14,7,10493
2026-03-06,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,3736.69,12925,267,267,33,10,5,7394
2026-03-07,vrs26_gads_search_brand_natl,search_brand,Mumbai,7168.96,25514,476,476,88,35,30,56269
2026-03-07,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,5149.15,19484,488,488,102,41,27,30071
2026-03-07,vrs26_gads_search_brand_natl,search_brand,Bengaluru,6672.01,20889,412,412,90,33,19,32479
2026-03-07,vrs26_gads_search_brand_natl,search_brand,Hyderabad,4204.84,16609,396,396,73,31,15,26485
2026-03-07,vrs26_gads_search_brand_natl,search_brand,Pune,2997.01,10790,252,252,52,22,15,31585
2026-03-07,vrs26_gads_search_brand_natl,search_brand,Chennai,2269.3,8937,187,187,40,15,10,18290
2026-03-07,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,10030.62,35163,818,818,79,28,15,25884
2026-03-07,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,8945.16,35394,859,859,109,46,23,38875
2026-03-07,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,8767.49,31908,693,693,79,29,21,42678
2026-03-07,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,6471.27,23723,517,517,57,18,9,11391
2026-03-07,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,4088.69,15108,369,369,44,15,8,13192
2026-03-07,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,3294.03,12490,197,197,25,13,5,9795
2026-03-08,vrs26_gads_search_brand_natl,search_brand,Mumbai,6932.14,22973,398,398,81,24,19,31179
2026-03-08,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,5377.04,19953,512,512,110,43,24,42075
2026-03-08,vrs26_gads_search_brand_natl,search_brand,Bengaluru,6102.51,22346,497,497,109,57,51,92047
2026-03-08,vrs26_gads_search_brand_natl,search_brand,Hyderabad,4422.82,18027,432,432,90,38,27,45173
2026-03-08,vrs26_gads_search_brand_natl,search_brand,Pune,2744.62,9388,227,227,47,15,10,10290
2026-03-08,vrs26_gads_search_brand_natl,search_brand,Chennai,2306.32,8361,204,204,54,17,14,20186
2026-03-08,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,9996.73,39161,664,664,86,34,24,47475
2026-03-08,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,9668.16,30285,755,755,98,30,14,33685
2026-03-08,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,8195.73,30377,747,747,75,36,21,37279
2026-03-08,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,5941.62,26710,625,625,73,25,9,18189
2026-03-08,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,3890.28,15833,287,287,34,15,10,9889
2026-03-08,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,3063.13,11983,234,234,27,7,5,6695
2026-03-09,vrs26_gads_search_brand_natl,search_brand,Mumbai,5688.6,23183,561,561,121,45,23,49077
2026-03-09,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,5988.32,21253,419,419,90,46,26,55773
2026-03-09,vrs26_gads_search_brand_natl,search_brand,Bengaluru,4735.59,19324,437,437,62,25,21,38878
2026-03-09,vrs26_gads_search_brand_natl,search_brand,Hyderabad,3008.79,10464,260,260,65,23,14,15386
2026-03-09,vrs26_gads_search_brand_natl,search_brand,Pune,2549.68,9751,201,201,43,22,13,25185
2026-03-09,vrs26_gads_search_brand_natl,search_brand,Chennai,1910.11,8041,178,178,33,17,8,7192
2026-03-09,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,8501.65,36390,760,760,92,28,17,27983
2026-03-09,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,7290.87,33072,544,544,65,28,13,19386
2026-03-09,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,7556.28,31248,607,607,80,31,17,22682
2026-03-09,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,5389.91,21938,482,482,50,17,3,4597
2026-03-09,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,3650.27,14843,304,304,33,8,2,3998
2026-03-09,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,2514.15,10753,256,256,32,9,8,10992
2026-03-10,vrs26_gads_search_brand_natl,search_brand,Mumbai,7929.19,30434,612,612,122,45,26,36372
2026-03-10,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,6507.33,24235,641,641,129,47,28,49972
2026-03-10,vrs26_gads_search_brand_natl,search_brand,Bengaluru,5853.46,20418,417,417,92,45,22,33577
2026-03-10,vrs26_gads_search_brand_natl,search_brand,Hyderabad,3810.47,13934,286,286,50,17,8,14992
2026-03-10,vrs26_gads_search_brand_natl,search_brand,Pune,2830.63,11790,298,298,70,29,14,15085
2026-03-10,vrs26_gads_search_brand_natl,search_brand,Chennai,2291.03,7699,167,167,28,11,7,10993
2026-03-10,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,10462.23,41895,1101,1101,125,45,25,39573
2026-03-10,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,9884.64,32773,699,699,75,16,11,20089
2026-03-10,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,8279.21,27093,536,536,72,22,12,23288
2026-03-10,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,6675.26,26543,469,469,49,14,12,22088
2026-03-10,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,4140.54,14491,296,296,40,15,9,22390
2026-03-10,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,3267.35,12831,275,275,23,10,6,9093
2026-03-11,vrs26_gads_search_brand_natl,search_brand,Mumbai,6513.3,24448,527,527,97,30,22,35177
2026-03-11,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,5757.81,20179,322,322,66,20,12,18286
2026-03-11,vrs26_gads_search_brand_natl,search_brand,Bengaluru,5254.31,19899,433,433,92,36,19,26479
2026-03-11,vrs26_gads_search_brand_natl,search_brand,Hyderabad,4142.31,13715,305,305,72,30,25,41771
2026-03-11,vrs26_gads_search_brand_natl,search_brand,Pune,3014.63,11239,314,314,68,25,15,23185
2026-03-11,vrs26_gads_search_brand_natl,search_brand,Chennai,2337.25,9506,108,108,22,7,5,7895
2026-03-11,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,11302.5,42223,940,940,114,36,16,31182
2026-03-11,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,8115.24,30613,807,807,94,35,27,41472
2026-03-11,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,8152.37,31189,668,668,79,31,11,20989
2026-03-11,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,4522.94,18025,359,359,46,16,10,21389
2026-03-11,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,3556.76,11507,256,256,45,19,13,28487
2026-03-11,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,3840.41,13839,305,305,34,10,4,7296
2026-03-12,vrs26_gads_search_brand_natl,search_brand,Mumbai,6301.19,24095,504,504,101,50,37,55460
2026-03-12,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,4636.5,18394,323,323,68,34,18,33881
2026-03-12,vrs26_gads_search_brand_natl,search_brand,Bengaluru,5409.27,22374,535,535,111,40,35,84462
2026-03-12,vrs26_gads_search_brand_natl,search_brand,Hyderabad,3580.85,12443,245,245,50,20,13,24885
2026-03-12,vrs26_gads_search_brand_natl,search_brand,Pune,2618.15,9322,219,219,35,13,7,7691
2026-03-12,vrs26_gads_search_brand_natl,search_brand,Chennai,2218.96,7628,169,169,35,13,7,13393
2026-03-12,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,10349.43,45450,1004,1004,123,35,18,36281
2026-03-12,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,7190.76,29332,629,629,78,29,23,38275
2026-03-12,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,6984.96,24871,628,628,75,29,12,31188
2026-03-12,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,5093.8,18683,461,461,56,20,19,40379
2026-03-12,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,3772.98,14978,279,279,39,13,9,16090
2026-03-12,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,2802.97,11004,206,206,22,9,4,7796
2026-03-13,vrs26_gads_search_brand_natl,search_brand,Mumbai,6978.49,25375,630,630,126,56,36,53963
2026-03-13,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,6399.69,23563,456,456,84,34,15,27684
2026-03-13,vrs26_gads_search_brand_natl,search_brand,Bengaluru,5777.38,21962,577,577,127,51,29,51270
2026-03-13,vrs26_gads_search_brand_natl,search_brand,Hyderabad,3595.25,13897,240,240,48,12,8,14392
2026-03-13,vrs26_gads_search_brand_natl,search_brand,Pune,3181.94,11904,298,298,70,23,12,16188
2026-03-13,vrs26_gads_search_brand_natl,search_brand,Chennai,2430.97,8340,152,152,25,10,8,14791
2026-03-13,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,11585.41,41311,810,810,104,37,23,37977
2026-03-13,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,8737.94,32577,559,559,74,29,16,24584
2026-03-13,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,8963.93,35192,761,761,113,36,27,45973
2026-03-13,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,5321.15,20097,459,459,75,25,11,15589
2026-03-13,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,4047.38,15077,280,280,43,15,8,23891
2026-03-13,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,2798.86,11491,244,244,31,11,8,13992
2026-03-14,vrs26_gads_search_brand_natl,search_brand,Mumbai,4682.55,18562,354,354,72,25,12,30288
2026-03-14,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,4106.63,17187,333,333,71,27,14,39285
2026-03-14,vrs26_gads_search_brand_natl,search_brand,Bengaluru,3362.46,11835,229,229,59,24,17,24482
2026-03-14,vrs26_gads_search_brand_natl,search_brand,Hyderabad,2766.02,9549,181,181,55,24,15,20685
2026-03-14,vrs26_gads_search_brand_natl,search_brand,Pune,2035.57,7516,178,178,29,10,5,5195
2026-03-14,vrs26_gads_search_brand_natl,search_brand,Chennai,1598.4,6527,134,134,20,8,4,3396
2026-03-14,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,7633.32,33921,851,851,110,45,24,46275
2026-03-14,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,5728.84,23053,417,417,57,19,7,11893
2026-03-14,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,5735.76,18266,377,377,47,18,9,12991
2026-03-14,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,3234.47,12560,258,258,38,12,4,6396
2026-03-14,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,2758.27,9706,235,235,28,11,7,12093
2026-03-14,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,2023.24,6708,132,132,10,1,1,1999
2026-03-14,vrs26_gads_search_generic_10k_natl,search_generic,Mumbai,4323.07,17098,371,371,43,25,13,25887
2026-03-14,vrs26_gads_search_generic_10k_natl,search_generic,Delhi NCR,3502.43,12248,251,251,22,7,5,11594
2026-03-14,vrs26_gads_search_generic_10k_natl,search_generic,Bengaluru,3877.8,14825,330,330,42,18,10,17290
2026-03-14,vrs26_gads_search_generic_10k_natl,search_generic,Hyderabad,2590.96,9154,191,191,23,9,3,4097
2026-03-14,vrs26_gads_search_generic_10k_natl,search_generic,Pune,1392.01,5042,82,82,10,3,1,1999
2026-03-14,vrs26_gads_search_generic_10k_natl,search_generic,Chennai,1438.3,6051,116,116,9,1,1,1299
2026-03-15,vrs26_gads_search_brand_natl,search_brand,Mumbai,5006.92,16498,332,332,76,31,27,47772
2026-03-15,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,3918.96,14059,340,340,64,35,32,45164
2026-03-15,vrs26_gads_search_brand_natl,search_brand,Bengaluru,4476.84,17441,414,414,80,31,17,31780
2026-03-15,vrs26_gads_search_brand_natl,search_brand,Hyderabad,2603.5,9188,249,249,60,24,16,26782
2026-03-15,vrs26_gads_search_brand_natl,search_brand,Pune,2255.21,7315,158,158,37,11,3,5097
2026-03-15,vrs26_gads_search_brand_natl,search_brand,Chennai,1775.88,7348,223,223,55,22,19,30779
2026-03-15,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,7447.92,28892,601,601,52,22,8,11491
2026-03-15,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,5958.14,19590,494,494,63,22,12,22988
2026-03-15,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,6479.59,23885,381,381,39,12,4,6896
2026-03-15,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,4318.4,17248,350,350,42,16,9,12490
2026-03-15,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,2491.41,8201,200,200,25,6,3,3696
2026-03-15,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,2589.83,8697,190,190,28,5,5,3695
2026-03-15,vrs26_gads_search_generic_10k_natl,search_generic,Mumbai,4374.68,17745,357,357,39,16,9,16690
2026-03-15,vrs26_gads_search_generic_10k_natl,search_generic,Delhi NCR,4488.58,16130,311,311,46,20,7,13693
2026-03-15,vrs26_gads_search_generic_10k_natl,search_generic,Bengaluru,3442.97,11931,250,250,33,15,13,36986
2026-03-15,vrs26_gads_search_generic_10k_natl,search_generic,Hyderabad,2826.11,11641,252,252,30,11,9,13791
2026-03-15,vrs26_gads_search_generic_10k_natl,search_generic,Pune,1831.07,6243,132,132,17,3,1,1299
2026-03-15,vrs26_gads_search_generic_10k_natl,search_generic,Chennai,1532.56,4971,132,132,15,10,6,8694
2026-03-16,vrs26_gads_search_brand_natl,search_brand,Mumbai,5787.29,18722,452,452,76,25,22,42277
2026-03-16,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,4571.47,17062,363,363,64,25,14,32786
2026-03-16,vrs26_gads_search_brand_natl,search_brand,Bengaluru,5044.21,20017,426,426,69,29,21,36476
2026-03-16,vrs26_gads_search_brand_natl,search_brand,Hyderabad,3334.49,12308,268,268,61,25,18,29180
2026-03-16,vrs26_gads_search_brand_natl,search_brand,Pune,2013.94,7125,141,141,26,12,3,4097
2026-03-16,vrs26_gads_search_brand_natl,search_brand,Chennai,1914.86,6961,133,133,33,12,5,6794
2026-03-16,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,9044.42,28475,523,523,55,22,14,17685
2026-03-16,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,7087.49,23498,561,561,70,17,6,14893
2026-03-16,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,5815.55,19007,412,412,53,18,10,19889
2026-03-16,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,5324.4,20356,484,484,61,17,10,14789
2026-03-16,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,3381.7,10338,219,219,20,7,4,6396
2026-03-16,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,2474.04,9010,166,166,25,9,2,1798
2026-03-16,vrs26_gads_search_generic_10k_natl,search_generic,Mumbai,5409.73,21927,309,309,39,16,10,13090
2026-03-16,vrs26_gads_search_generic_10k_natl,search_generic,Delhi NCR,3757,14371,360,360,44,13,9,13291
2026-03-16,vrs26_gads_search_generic_10k_natl,search_generic,Bengaluru,4386.73,14124,310,310,38,12,10,16190
2026-03-16,vrs26_gads_search_generic_10k_natl,search_generic,Hyderabad,2942.73,8924,137,137,21,9,6,15393
2026-03-16,vrs26_gads_search_generic_10k_natl,search_generic,Pune,2549.51,8634,169,169,15,3,2,3998
2026-03-16,vrs26_gads_search_generic_10k_natl,search_generic,Chennai,1877,7451,160,160,15,6,3,3797
2026-03-17,vrs26_gads_search_brand_natl,search_brand,Mumbai,5259.79,22044,456,456,93,33,16,41484
2026-03-17,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,4194.89,18133,380,380,79,39,24,54175
2026-03-17,vrs26_gads_search_brand_natl,search_brand,Bengaluru,3434.25,11057,264,264,49,23,12,21887
2026-03-17,vrs26_gads_search_brand_natl,search_brand,Hyderabad,3210.47,10602,268,268,46,21,8,13692
2026-03-17,vrs26_gads_search_brand_natl,search_brand,Pune,1903,8636,201,201,55,17,10,11190
2026-03-17,vrs26_gads_search_brand_natl,search_brand,Chennai,1737.15,6225,119,119,26,13,8,19591
2026-03-17,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,6538.29,27316,477,477,59,23,17,27382
2026-03-17,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,6711.27,27654,645,645,74,27,15,31183
2026-03-17,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,6368.61,23494,485,485,49,18,15,25785
2026-03-17,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,4086.89,17047,378,378,54,17,7,5192
2026-03-17,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,2789.67,11124,188,188,25,10,6,12092
2026-03-17,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,2355.36,8987,179,179,27,7,4,6096
2026-03-17,vrs26_gads_search_generic_10k_natl,search_generic,Mumbai,4526.14,18010,316,316,42,14,10,11689
2026-03-17,vrs26_gads_search_generic_10k_natl,search_generic,Delhi NCR,4006.62,15607,274,274,34,14,11,13289
2026-03-17,vrs26_gads_search_generic_10k_natl,search_generic,Bengaluru,3629.09,13911,228,228,27,11,7,16693
2026-03-17,vrs26_gads_search_generic_10k_natl,search_generic,Hyderabad,2507.41,9236,199,199,24,11,6,7194
2026-03-17,vrs26_gads_search_generic_10k_natl,search_generic,Pune,1887.68,7758,95,95,15,5,2,2098
2026-03-17,vrs26_gads_search_generic_10k_natl,search_generic,Chennai,1664.18,6861,184,184,22,10,4,11096
2026-03-18,vrs26_gads_search_brand_natl,search_brand,Mumbai,7097.25,23865,510,510,120,60,37,71762
2026-03-18,vrs26_gads_search_brand_natl,search_brand,Delhi NCR,5836.04,21361,433,433,87,31,15,26385
2026-03-18,vrs26_gads_search_brand_natl,search_brand,Bengaluru,6236.36,20447,378,378,82,30,25,56672
2026-03-18,vrs26_gads_search_brand_natl,search_brand,Hyderabad,3289.97,11102,230,230,51,21,14,38585
2026-03-18,vrs26_gads_search_brand_natl,search_brand,Pune,2331.56,8437,206,206,47,13,7,13391
2026-03-18,vrs26_gads_search_brand_natl,search_brand,Chennai,2183.03,6987,161,161,35,17,9,12291
2026-03-18,vrs26_gads_search_generic_marathon_natl,search_generic,Mumbai,10527.2,36228,787,787,108,37,24,58372
2026-03-18,vrs26_gads_search_generic_marathon_natl,search_generic,Delhi NCR,7475.42,23174,495,495,57,20,8,13092
2026-03-18,vrs26_gads_search_generic_marathon_natl,search_generic,Bengaluru,8995.91,24974,703,703,108,41,22,32675
2026-03-18,vrs26_gads_search_generic_marathon_natl,search_generic,Hyderabad,5185.04,16911,355,355,39,19,9,16991
2026-03-18,vrs26_gads_search_generic_marathon_natl,search_generic,Pune,4390.41,14885,260,260,37,14,11,17588
2026-03-18,vrs26_gads_search_generic_marathon_natl,search_generic,Chennai,2849.85,9733,232,232,34,14,7,9892
2026-03-18,vrs26_gads_search_generic_10k_natl,search_generic,Mumbai,7061.84,25154,470,470,46,25,9,13791
2026-03-18,vrs26_gads_search_generic_10k_natl,search_generic,Delhi NCR,5550.82,17377,397,397,51,23,12,17388
