date,campaign_name,audience,objective,city,spend,impressions,clicks,landed,lead_submitted,pay_now_attempt,conversions,gtv
2026-04-07,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Chennai,444.14,739,2,2,0,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,running_clubs,corporate,Mumbai,1448.6,2960,22,22,0,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,running_clubs,corporate,Delhi NCR,1054.42,2473,9,9,2,2,2,8297
2026-04-07,vrs26_li_corp_challenge_natl,running_clubs,corporate,Bengaluru,932.93,2149,17,17,1,1,0,0
2026-04-07,vrs26_li_corp_challenge_natl,running_clubs,corporate,Hyderabad,795.13,1760,8,8,0,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,running_clubs,corporate,Pune,487.4,1096,6,6,0,0,0,0
2026-04-07,vrs26_li_corp_challenge_natl,running_clubs,corporate,Chennai,343.29,680,4,4,1,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Mumbai,705.93,1653,13,13,1,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Delhi NCR,854.92,1858,13,13,1,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Bengaluru,652.26,1751,7,7,0,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Hyderabad,438.57,1039,7,7,0,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Pune,348.23,624,4,4,0,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Chennai,254.07,509,2,2,0,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Mumbai,778.54,1956,17,17,1,1,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Delhi NCR,850.61,1635,10,10,1,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Bengaluru,611.59,1221,9,9,1,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Hyderabad,492.18,917,5,5,1,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Pune,254.18,607,6,6,0,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Chennai,266.89,576,0,0,0,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,senior_management,brand,Mumbai,760.31,1421,8,8,0,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,senior_management,brand,Delhi NCR,728.89,1636,11,11,2,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,senior_management,brand,Bengaluru,719.47,1383,14,14,1,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,senior_management,brand,Hyderabad,517.75,971,4,4,0,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,senior_management,brand,Pune,289.15,657,5,5,0,0,0,0
2026-04-07,vrs26_li_sponsored_brand_natl,senior_management,brand,Chennai,238.42,559,1,1,1,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Mumbai,1553.4,2901,13,13,0,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Delhi NCR,1472.16,2935,21,21,0,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Bengaluru,1254.88,3150,17,17,0,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Hyderabad,1137.98,2315,12,12,2,1,1,1999
2026-04-08,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Pune,776.03,1463,15,15,0,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Chennai,516.02,1018,7,7,0,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,running_clubs,corporate,Mumbai,1915.17,3412,20,20,2,1,1,1299
2026-04-08,vrs26_li_corp_challenge_natl,running_clubs,corporate,Delhi NCR,1471.68,3388,20,20,1,1,0,0
2026-04-08,vrs26_li_corp_challenge_natl,running_clubs,corporate,Bengaluru,1311.05,2419,18,18,0,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,running_clubs,corporate,Hyderabad,902.89,1869,5,5,0,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,running_clubs,corporate,Pune,691.27,1494,5,5,0,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,running_clubs,corporate,Chennai,418.42,990,2,2,0,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,senior_management,corporate,Mumbai,1854.2,3804,19,19,2,1,0,0
2026-04-08,vrs26_li_corp_challenge_natl,senior_management,corporate,Delhi NCR,1460.65,3300,30,30,2,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,senior_management,corporate,Bengaluru,1264.01,2281,14,14,2,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,senior_management,corporate,Hyderabad,1014.2,2010,6,6,0,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,senior_management,corporate,Pune,629.17,1072,7,7,0,0,0,0
2026-04-08,vrs26_li_corp_challenge_natl,senior_management,corporate,Chennai,488.24,935,3,3,1,1,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Mumbai,1149.36,2486,18,18,0,0,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Delhi NCR,1038.24,2409,17,17,1,1,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Bengaluru,831.62,1732,9,9,2,0,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Hyderabad,586.18,1084,4,4,0,0,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Pune,391.1,811,5,5,0,0,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Chennai,317.37,582,4,4,1,0,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,running_clubs,brand,Mumbai,1165.55,2426,18,18,3,1,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,running_clubs,brand,Delhi NCR,891.4,2102,19,19,2,0,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,running_clubs,brand,Bengaluru,805.41,1441,9,9,0,0,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,running_clubs,brand,Hyderabad,699.11,1448,5,5,1,1,1,499
2026-04-08,vrs26_li_sponsored_brand_natl,running_clubs,brand,Pune,406.44,882,8,8,1,1,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,running_clubs,brand,Chennai,345.97,749,6,6,1,1,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,senior_management,brand,Mumbai,1126.06,2128,12,12,1,1,1,1999
2026-04-08,vrs26_li_sponsored_brand_natl,senior_management,brand,Delhi NCR,899.75,1795,16,16,1,0,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,senior_management,brand,Bengaluru,862.82,1629,20,20,1,0,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,senior_management,brand,Hyderabad,636.99,1480,2,2,1,0,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,senior_management,brand,Pune,420.9,872,5,5,0,0,0,0
2026-04-08,vrs26_li_sponsored_brand_natl,senior_management,brand,Chennai,367.35,800,3,3,0,0,0,0
2026-04-09,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Mumbai,2918.79,5238,29,29,2,0,0,0
2026-04-09,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Delhi NCR,2444.04,5195,45,45,4,0,0,0
2026-04-09,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Bengaluru,2719.18,5255,40,40,3,1,1,1299
2026-04-09,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Hyderabad,1629.19,3661,32,32,2,0,0,0
2026-04-09,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Pune,1066.85,2221,12,12,0,0,0,0
2026-04-09,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Chennai,968.42,1962,9,9,0,0,0,0
2026-04-09,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Mumbai,3177.96,7561,58,58,3,1,1,1299
2026-04-09,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Delhi NCR,2671.44,5692,39,39,3,2,1,1999
2026-04-09,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Bengaluru,2308.92,4461,18,18,2,1,1,799
2026-04-09,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Hyderabad,1523.46,3371,33,33,3,1,0,0
2026-04-09,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Pune,1179.41,2674,21,21,1,1,0,0
2026-04-09,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Chennai,885.29,1743,18,18,2,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Mumbai,1514.33,2999,10,10,1,1,1,1299
2026-04-09,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Delhi NCR,1085.91,2525,13,13,3,1,1,1999
2026-04-09,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Bengaluru,946.55,1890,13,13,1,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Hyderabad,609.02,1259,8,8,0,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Pune,461.23,1111,7,7,0,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Chennai,417.17,964,2,2,0,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Mumbai,1311.81,2610,20,20,2,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Delhi NCR,1105.49,2304,10,10,0,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Bengaluru,970.79,1738,11,11,0,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Hyderabad,646.94,1380,10,10,0,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Pune,571.6,993,4,4,0,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Chennai,427.58,788,4,4,0,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,senior_management,brand,Mumbai,1138.94,2117,9,9,1,1,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,senior_management,brand,Delhi NCR,1153.76,2265,16,16,1,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,senior_management,brand,Bengaluru,960.82,2119,10,10,0,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,senior_management,brand,Hyderabad,761.04,1683,11,11,0,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,senior_management,brand,Pune,524.77,1023,7,7,0,0,0,0
2026-04-09,vrs26_li_sponsored_brand_natl,senior_management,brand,Chennai,494.88,1153,10,10,0,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Mumbai,1338.42,2509,14,14,0,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Delhi NCR,1447.89,3232,13,13,0,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Bengaluru,1331.58,2807,23,23,2,1,1,2999
2026-04-10,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Hyderabad,1043.12,2408,17,17,0,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Pune,612.57,1312,14,14,3,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Chennai,512.04,1189,11,11,1,1,1,1999
2026-04-10,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Mumbai,1575.9,3869,20,20,0,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Delhi NCR,1342.81,2952,20,20,0,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Bengaluru,1273.7,2438,13,13,1,1,1,1999
2026-04-10,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Hyderabad,972.35,2210,14,14,0,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Pune,580.89,1110,4,4,0,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Chennai,539.97,1307,6,6,1,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,running_clubs,corporate,Mumbai,1261.03,2925,13,13,0,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,running_clubs,corporate,Delhi NCR,1546.78,3176,14,14,1,1,0,0
2026-04-10,vrs26_li_corp_challenge_natl,running_clubs,corporate,Bengaluru,1237.43,2617,16,16,1,0,0,0
2026-04-10,vrs26_li_corp_challenge_natl,running_clubs,corporate,Hyderabad,1016.8,2185,8,8,1,1,0,0
2026-04-10,vrs26_li_corp_challenge_natl,running_clubs,corporate,Pune,680.46,1862,9,9,1,1,1,6499
2026-04-10,vrs26_li_corp_challenge_natl,running_clubs,corporate,Chennai,543.12,1315,7,7,2,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Mumbai,1017.19,2292,15,15,2,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Delhi NCR,924.39,1810,17,17,1,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Bengaluru,793.93,1893,11,11,0,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Hyderabad,496.16,1169,6,6,1,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Pune,446.78,859,5,5,0,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Chennai,362.3,710,5,5,0,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Mumbai,1092.93,2165,16,16,2,1,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Delhi NCR,973.45,1727,4,4,1,1,1,799
2026-04-10,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Bengaluru,788.8,1698,7,7,0,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Hyderabad,469.08,854,5,5,0,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Pune,365.91,682,4,4,0,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Chennai,350.58,759,3,3,0,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Mumbai,960.74,1889,16,16,0,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Delhi NCR,873.61,1959,7,7,1,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Bengaluru,865.76,1745,13,13,1,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Hyderabad,650.97,1327,6,6,0,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Pune,348.63,688,5,5,1,0,0,0
2026-04-10,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Chennai,341.05,696,5,5,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Mumbai,1395.26,2567,20,20,1,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Delhi NCR,1111.48,2181,5,5,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Bengaluru,918.82,2076,13,13,1,1,1,499
2026-04-11,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Hyderabad,625.12,1392,10,10,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Pune,378.34,786,8,8,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Chennai,403.22,683,4,4,1,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Mumbai,1411.52,2931,10,10,2,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Delhi NCR,999.78,1957,8,8,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Bengaluru,889.79,1590,14,14,1,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Hyderabad,713.39,1352,5,5,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Pune,442.5,950,2,2,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Chennai,375.27,820,8,8,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Mumbai,1272.55,2261,16,16,2,1,1,2598
2026-04-11,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Delhi NCR,935.22,2163,14,14,1,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Bengaluru,988.74,2057,11,11,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Hyderabad,798.98,1426,11,11,3,2,1,1999
2026-04-11,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Pune,491.12,855,6,6,1,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,fitness_enthusiasts,corporate,Chennai,345.63,653,2,2,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,senior_management,corporate,Mumbai,1228.86,2737,26,26,2,1,1,2999
2026-04-11,vrs26_li_corp_challenge_natl,senior_management,corporate,Delhi NCR,1044.72,2069,13,13,1,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,senior_management,corporate,Bengaluru,1028.41,2317,15,15,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,senior_management,corporate,Hyderabad,707.58,1448,12,12,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,senior_management,corporate,Pune,510.61,854,8,8,0,0,0,0
2026-04-11,vrs26_li_corp_challenge_natl,senior_management,corporate,Chennai,312.08,672,5,5,1,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Mumbai,1126.59,2604,18,18,0,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Delhi NCR,816.5,1526,11,11,0,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Bengaluru,832.68,1663,7,7,0,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Hyderabad,601.73,1314,8,8,0,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Pune,369.33,679,7,7,1,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,hr_decision_makers,brand,Chennai,395.11,773,4,4,1,1,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Mumbai,1260.45,2755,21,21,0,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Delhi NCR,760.19,1547,13,13,1,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Bengaluru,808.44,1782,19,19,2,1,1,1999
2026-04-11,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Hyderabad,602.52,1373,7,7,0,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Pune,363.22,750,7,7,1,1,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Chennai,347.12,821,8,8,0,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Mumbai,1148.54,1949,13,13,1,1,1,1299
2026-04-11,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Delhi NCR,834.44,1606,12,12,0,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Bengaluru,848.36,1782,12,12,0,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Hyderabad,623.94,1361,12,12,2,1,1,799
2026-04-11,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Pune,345.43,660,7,7,0,0,0,0
2026-04-11,vrs26_li_sponsored_brand_natl,fitness_enthusiasts,brand,Chennai,341.22,653,1,1,1,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Mumbai,939.7,2214,21,21,1,1,0,0
2026-04-12,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Delhi NCR,1114.34,2099,17,17,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Bengaluru,842.12,1795,15,15,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Hyderabad,573.89,1333,4,4,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Pune,480.51,1026,7,7,1,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,hr_decision_makers,corporate,Chennai,327.53,645,5,5,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Mumbai,955.65,2072,10,10,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Delhi NCR,962.86,1793,8,8,1,1,1,499
2026-04-12,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Bengaluru,876.67,2129,9,9,2,2,1,499
2026-04-12,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Hyderabad,627.74,1193,10,10,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Pune,468.51,926,5,5,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,corporate_wellness,corporate,Chennai,386.66,763,7,7,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,running_clubs,corporate,Mumbai,1013.07,2045,7,7,2,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,running_clubs,corporate,Delhi NCR,998.21,2012,15,15,2,1,0,0
2026-04-12,vrs26_li_corp_challenge_natl,running_clubs,corporate,Bengaluru,895.1,1940,17,17,2,1,0,0
2026-04-12,vrs26_li_corp_challenge_natl,running_clubs,corporate,Hyderabad,524.43,1008,7,7,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,running_clubs,corporate,Pune,509.47,1186,9,9,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,running_clubs,corporate,Chennai,337.81,648,6,6,1,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,senior_management,corporate,Mumbai,900.26,2001,10,10,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,senior_management,corporate,Delhi NCR,992.91,2127,15,15,1,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,senior_management,corporate,Bengaluru,828.95,1734,8,8,1,1,1,2499
2026-04-12,vrs26_li_corp_challenge_natl,senior_management,corporate,Hyderabad,781.32,1926,9,9,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,senior_management,corporate,Pune,437.39,897,6,6,0,0,0,0
2026-04-12,vrs26_li_corp_challenge_natl,senior_management,corporate,Chennai,337.26,648,5,5,0,0,0,0
2026-04-12,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Mumbai,916.98,1941,8,8,0,0,0,0
2026-04-12,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Delhi NCR,821.44,1424,3,3,0,0,0,0
2026-04-12,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Bengaluru,765.17,1728,12,12,1,0,0,0
2026-04-12,vrs26_li_sponsored_brand_natl,corporate_wellness,brand,Hyderabad,412.66,857,5,5,1,1,1,1999
